timestamp,dataset,algorithm,spark_version,features,partitions,lambda,max_iterations,actual_iterations,runtime_sec,accuracy_percent,model_norm,non_zero_weights,total_weights,non_zero_percent,convergence_status,train_file,test_file
2025-07-13T20:54:55.982,higgs,admm,2_4,27,8,0.01,50,19,122.697,61.72,0.883551,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T20:57:12.139,higgs,admm,2_4,27,8,0.01,50,19,131.678,61.72,0.883551,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T20:59:44.675,higgs,admm,2_4,27,8,0.01,50,22,147.798,61.71,0.942258,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:02:20.349,higgs,admm,2_4,27,8,0.01,50,22,151.197,61.74,0.942067,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:05:00.211,higgs,admm,2_4,27,8,0.01,50,22,155.421,61.71,0.942258,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:08:50.020,higgs,admm,2_4,27,8,0.01,50,29,225.359,62.38,1.343814,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:11:15.898,higgs,admm,2_4,27,8,0.01,50,19,141.517,61.72,0.88355,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:13:11.936,higgs,admm,2_4,27,8,0.01,50,18,111.677,61.72,0.867996,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:15:03.357,higgs,admm,2_4,27,8,0.01,50,20,107.212,61.74,0.898906,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:17:03.931,higgs,admm,2_4,27,8,0.01,50,22,116.304,61.74,0.942066,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:18:44.565,higgs,admm,2_4,27,8,0.01,50,18,96.389,61.74,0.868001,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
